lsoacode,hpmd202003,hpmd202103
E01012622,56250,64750
E01012623,91948,80513
E01012624,64875,86542
E01012625,79550,77000
E01012628,260296,300688
E01012629,126091,96105
E01012630,81846,90233
E01012631,90950,
E01012632,135448,189404
E01012633,135469,145746
E01012634,167532,129625
E01012635,153767,148368
E01012636,163589,168267
E01012637,,
E01012638,89333,112611
E01012639,115083,94429
E01012640,85767,104257
E01012641,69706,83000
E01012642,124000,133666
E01012643,87429,100250
E01012644,131088,129071
E01012645,142354,148821
E01012646,81298,89758
E01012647,109889,125227
E01012648,66898,74289
E01012649,75413,79377
E01012650,61870,65150
E01012651,101811,107273
E01012652,180447,191447
E01012653,108918,152643
E01012654,97552,98785
E01012655,67167,
E01012656,,96875
E01012657,,86800
E01012658,104596,119286
E01012659,115524,166998
E01012660,178941,261979
E01012661,117225,117481
E01032485,367070,400105
E01032486,298784,348070
E01012662,129126,116736
E01012663,140670,139231
E01012664,120200,139184
E01012665,119881,124329
E01012666,148200,147900
E01012667,140593,178223
E01012668,120672,125660
E01012669,129157,142861
E01012670,78888,
E01012671,77600,68333
E01012672,111350,85900
E01012673,,75644
E01012674,85535,94112
E01012675,73996,73500
E01012676,116026,117122
E01012677,147421,164670
E01012678,99600,
E01012679,65108,68813
E01012680,104005,92548
E01012681,65600,
E01012682,64138,64450
E01012683,89500,
E01012684,65063,72798
E01012685,97580,97309
E01012686,90750,115921
E01012687,77188,100357
E01012688,126658,127895
E01012689,133898,131454
E01012690,116894,159997
E01012691,99586,130381
E01012692,119321,145674
E01012693,115212,109667
E01012694,94983,107929
E01012695,84781,81505
E01012696,87278,96000
E01012697,110732,105158
E01012698,79167,85630
E01012699,116653,135104
E01012700,130438,133722
E01012701,130016,121744
E01012702,119328,132269
E01012703,128674,122382
E01012704,133333,110083
E01012705,117511,118156
E01012706,114444,114746
E01012707,92688,89459
E01012708,112096,118660
E01012709,82945,88505
E01012710,171250,204597
E01012711,119279,94692
E01012712,131714,135376
E01012713,108779,125454
E01012714,172414,174753
E01012715,134199,125821
E01012716,115609,125837
E01012717,169720,187852
E01012718,155604,164620
E01012719,156952,153338
E01012720,97175,83990
E01012721,77583,
E01012722,170838,184863
E01012723,133721,123433
E01012724,86064,
E01012725,144052,173585
E01012726,139595,134887
E01012727,183135,202148
E01012728,122839,112871
E01012729,142643,148700
E01012730,220353,172069
E01012731,139139,134521
E01012732,192076,174566
E01012733,102571,97450
E01012734,111076,124023
E01012735,137250,155385
E01012736,62778,
E01012737,75000,80400
E01012738,81618,67950
E01012739,81655,98050
E01012740,134260,172027
E01012741,97154,107432
E01012742,113075,136370
E01012743,104375,84175
E01012744,82836,85185
E01012745,104771,99681
E01012746,91779,95559
E01012747,157441,187071
E01012748,117497,123072
E01012749,146938,144957
E01012750,119237,127750
E01012751,98338,84500
E01012752,124400,127074
E01012753,162625,160281
E01012754,98848,139712
E01012755,161971,186161
E01012756,135882,155500
E01012757,124684,129820
E01012758,233324,219123
E01012759,104217,106925
E01012760,98200,85182
E01012761,107500,72850
E01012762,186138,190913
E01012763,174084,142750
E01012764,152287,143500
E01012765,120860,111118
E01012766,144457,131321
E01012767,145191,172556
E01012768,118106,130091
E01012769,111248,128567
E01012770,205594,205025
E01012771,135444,135869
E01012772,138105,138600
E01012773,103543,111622
E01012774,136714,124460
E01012775,140375,112909
E01012776,104260,112250
E01012777,169917,147031
E01012778,,75120
E01012779,,
E01012780,,
E01012781,,
E01012782,,
E01012783,80386,89400
E01012784,131638,133589
E01012785,,72900
E01012786,83188,86921
E01012787,69667,74214
E01012788,82619,79800
E01012789,81389,88200
E01012790,87000,86250
E01012791,158818,150553
E01012792,162882,168778
E01012793,246211,257996
E01012794,140166,149735
E01012795,120053,142891
E01012796,137031,138363
E01012797,105652,111071
E01012798,108141,119182
E01012799,95881,101803
E01012800,121017,112406
E01012801,119367,132830
E01012802,104708,126100
E01012803,109056,121608
E01012804,119120,142258
E01012805,70893,79300
E01012806,73263,73833
E01012807,164500,160050
E01012808,72458,87838
E01012809,76839,76182
E01012810,150630,163667
E01012811,166169,160521
E01012812,174000,179787
E01012813,149833,177381
E01012814,158950,170222
E01012815,144833,130441
E01012816,166067,131625
E01012817,98600,95358
E01012818,143184,151650
E01012819,112331,111688
E01012820,118167,117587
E01012821,180377,176239
E01012822,126785,130619
E01012823,108874,143641
E01012824,153441,172814
E01012825,161743,156842
E01012826,100564,96550
E01012827,139650,205667
E01012828,118188,125526
E01012829,123604,128000
E01012830,110118,115947
E01012832,156767,149639
E01012833,88556,103400
E01012834,,92000
E01012835,138150,143643
E01012836,86150,89444
E01012837,91941,96321
E01012838,85868,84600
E01012839,161150,136375
E01012840,84374,93389
E01012841,,86333
E01012842,82703,77333
E01012843,76656,125623
E01012844,,
E01012845,66050,82346
E01012846,78788,80219
E01012847,87000,81646
E01012848,81393,98204
E01012849,86132,85400
E01012850,85591,95643
E01012851,68450,79643
E01012852,92856,90408
E01012854,109573,114750
E01012855,77778,83375
E01012856,,
E01012857,89857,85094
E01012858,120791,106450
E01012859,58167,68667
E01012860,133150,128132
E01012862,75881,70075
E01012863,113718,99386
E01012864,86009,90107
E01012865,96508,90950
E01012866,94917,107820
E01012867,,83786
E01012868,88079,106571
E01012869,89145,93714
E01012870,104780,109800
E01012871,107679,97956
E01012872,109875,84250
E01012873,80611,86650
E01012874,79825,80000
E01012875,,
E01012876,,79100
E01012877,63700,
E01012878,83583,78654
E01012879,66200,
E01012880,,82707
E01012881,82640,
E01012882,139078,147438
E01012883,117026,203268
E01012884,113816,114103
E01012886,117494,147375
E01012887,93715,104000
E01012888,72167,75850
E01012889,68007,100583
E01012891,69075,80900
E01012892,75500,89533
E01012893,74825,86571
E01012894,127192,117321
E01012895,,
E01012896,130813,115946
E01012897,,
E01012898,100223,89214
E01012899,89723,86886
E01012900,60875,66563
E01012901,107240,107679
E01012902,112000,113469
E01012903,75473,63833
E01012904,166333,156017
E01012905,107958,100857
E01012906,84550,82375
E01012907,,150596
E01012908,112100,110500
E01012909,126929,153357
E01012910,106592,116050
E01012911,178079,181542
E01012912,124182,133586
E01012913,123261,118342
E01012914,129650,107313
E01012915,89167,94497
E01012916,127295,153666
E01012917,121350,110137
E01012918,100429,90143
E01032595,126227,121000
E01033104,172292,107752
E01033105,170444,185113
E01033106,160769,177539
E01033107,162723,176182
E01033108,195311,213543
E01033109,93259,110543
E01033110,143371,139122
E01012919,352248,431125
E01012920,366746,396783
E01012921,272426,407821
